Scheme Name	Net Asset Value
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7399
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7336
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.0991
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7871
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1296.2744
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1268.6487
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1137.01
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1296.0295
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1141.6287
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1161.4555
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.5666
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1110.6797
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1225.7805
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1122.4501
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1136.805
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1104.8109
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.1603
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.1897
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.2688
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.777
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.4899
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.5744
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12.9219
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.6864
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.6248
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2713
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.0289
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.9
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.2223
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.3205
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7305
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.9752
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0542
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.778
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.3455
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.1241
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.4062
Axis Corporate Bond Fund - Direct Plan Growth	18.1043
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.3029
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.2248
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2968
Axis Corporate Bond Fund - Regular Plan Growth	17.1169
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5163
BANDHAN Corporate Bond Fund - Direct Growth	19.8165
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.8079
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.4369
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.1470
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.8455
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5045
BANDHAN Corporate Bond Fund - Regular Growth	19.2511
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.1879
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6906
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	12.9778
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.8798
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.4869
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	31.9113
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.5611
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.6235
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.7231
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.2467
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.7226
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.8295
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.4126
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.5711
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.6012
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.6441
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.3132
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.7351
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.7747
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.9117
DSP Corporate Bond Fund - Direct - Growth	16.1864
DSP Corporate Bond Fund - Direct - IDCW	11.4462
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.651
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.4936
DSP Corporate Bond Fund - Regular - Growth	15.9135
DSP Corporate Bond Fund - Regular - IDCW	11.4201
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.6266
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.8365
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	107.7630
Franklin India Corporate Debt Fund - Growth	99.5731
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	16.9982
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.0745
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.1256
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.4542
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.9633
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.8489
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.5299
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.2748
HDFC Corporate Bond Fund - Growth Option	32.6829
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.3879
HDFC Corporate Bond Fund - IDCW Option	19.7853
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.4577
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.6769
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5602
HSBC Corporate Bond Fund - Direct Annual IDCW	11.9826
HSBC Corporate Bond Fund - Direct Growth	77.8984
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.628
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.3489
HSBC Corporate Bond Fund - Regular Annual IDCW	11.7292
HSBC Corporate Bond Fund - Regular Growth	73.1545
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.2203
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.0184
HSBC Corporate Bond Fund -Regular Plan - Bonus	27.7881
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
