Scheme Name	Net Asset Value
CANARA ROBECO BLUE CHIP EQUITY FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	55.2100
CANARA ROBECO BLUE CHIP EQUITY FUND - REGULAR PLAN - GROWTH OPTION	62.4300
CANARA ROBECO BLUE CHIP EQUITY FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	30.3400
DSP Large Cap Fund - Direct Plan - Growth	515.274
DSP Large Cap Fund - Direct Plan - IDCW	30.101
DSP Large Cap Fund - Regular Plan - Growth	472.159
DSP Large Cap Fund - Regular Plan - IDCW	26.221
Edelweiss Large Cap Fund - Direct Plan - IDCW Option	39.67
Edelweiss Large Cap Fund - Direct Plan-Growth option	94.99
Edelweiss Large Cap Fund - Plan B - IDCW Option	84.43
Edelweiss Large Cap Fund - Plan C - IDCW Option	67.31
Edelweiss Large Cap Fund - Regular Plan - Growth Option	82.94
Edelweiss Large Cap Fund - Regular Plan - IDCW Option	28.33
Edelweiss Large Cap Fund -Plan B - Growth option	83.44
Edelweiss Large Cap Fund -Plan C - Growth option	82.35
Franklin India BLUECHIP FUND - Direct - IDCW 	53.6719
Franklin India BLUECHIP FUND - IDCW 	46.3061
Franklin India Bluechip Fund- Direct - Growth	1110.2163
Franklin India Bluechip Fund-Growth	1004.0819
Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option	50.12
Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Regular Plan- Growth Option	41.87
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	29.05
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Half Yearly -Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	28.19
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	22.4
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Direct Plan- Quarterly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	27.98
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	23.59
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Half Yearly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	25.14
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	24.11
Groww Largecap Fund (formerly known as Indiabulls Bluechip Fund)- Regular Plan- Quarterly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	25
HDFC Large Cap Fund - Growth Option - Direct Plan	1215.798
HDFC Large Cap Fund - Growth Option - Regular Plan	1125.217
HDFC Large Cap Fund - IDCW Option - Direct Plan	66.829
HDFC Large Cap Fund - IDCW Option - Regular Plan	56.802
HSBC Large Cap Fund - Direct Growth	512.5838
HSBC Large Cap Fund - Direct IDCW	42.3332
HSBC Large Cap Fund - Regular Growth	462.1943
HSBC Large Cap Fund - Regular IDCW	44.9443
ICICI Prudential Bluechip Fund - Direct Plan - Growth	119.45
ICICI Prudential Bluechip Fund - Direct Plan - IDCW	62.95
ICICI Prudential Bluechip Fund - Growth	108.87
ICICI Prudential Bluechip Fund - IDCW	31.88
ICICI Prudential Bluechip Fund - Institutional Option - I - Growth	37.59
Invesco India Largecap Fund - Direct Plan - Growth	81.5
Invesco India Largecap Fund - Direct Plan - IDCW (Payout / Reinvestment)	36.11
Invesco India Largecap Fund - Growth	68.07
Invesco India Largecap Fund - IDCW (Payout / Reinvestment)	28.27
ITI Large Cap Fund - Direct Plan - Growth Option	19.0382
ITI Large Cap Fund - Direct Plan - IDCW Option	19.0382
ITI Large Cap Fund - Regular Plan - Growth Option	17.3807
ITI Large Cap Fund - Regular Plan - IDCW Option	17.3807
JM Large Cap Fund (Direct) - Annual IDCW	70.181
JM Large Cap Fund (Direct) - Growth Option	170.376
JM Large Cap Fund (Direct) - Half Yearly IDCW 	69.6904
JM Large Cap Fund (Direct) - IDCW	68.404
JM Large Cap Fund (Direct) - Monthly IDCW 	69.545
JM Large Cap Fund (Direct) - Quarterly IDCW	70.1935
JM Large Cap Fund (Regular) - Annual IDCW	29.7984
JM Large Cap Fund (Regular) - Growth Option	149.2736
JM Large Cap Fund (Regular) - Half Yearly IDCW	24.4706
JM Large Cap Fund (Regular) - IDCW 	28.9776
JM Large Cap Fund (Regular) - Monthly IDCW	23.1943
JM Large Cap Fund (Regular) - Quarterly IDCW	33.6869
Kotak Bluechip Fund - Growth	564.959
Kotak Bluechip Fund - Growth - Direct	648.714
Kotak Bluechip Fund - Payout of Income Distribution cum capital withdrawal option - Direct	85.794
Kotak Bluechip Fund - Payout of Income Distribution cumcapital withdrawal option	72.927
LIC MF Large Cap Fund-Direct Plan-Growth	63.1848
LIC MF Large Cap Fund-Direct Plan-IDCW	39.7912
LIC MF Large Cap Fund-Regular Plan-Growth	55.6861
LIC MF Large Cap Fund-Regular Plan-IDCW	33.6309
Mahindra Manulife Large Cap Fund - Direct Plan - IDCW	19.4028
Mahindra Manulife Large Cap Fund - Direct Plan -Growth	25.6325
Mahindra Manulife Large Cap Fund - Regular Plan - Growth	22.9053
Mahindra Manulife Large Cap Fund - Regular Plan - IDCW	16.8444
Mirae Asset Large Cap Fund - Direct Plan - Growth	124.726
Mirae Asset Large Cap Fund - Growth Plan	110.819
Mirae Asset Large Cap Fund Direct IDCW	70.596
Mirae Asset Large Cap Fund Regular IDCW	30.786
Motilal Oswal Large Cap Direct Plan Growth	13.7768
Motilal Oswal Large Cap Direct Plan IDCW	13.0103
Motilal Oswal Large Cap Regular Plan Growth	13.5374
Motilal Oswal Large Cap Regular Plan IDCW	12.6347
Nippon India Large Cap  Fund- Growth Plan -Growth Option	88.7384
NIPPON INDIA LARGE CAP FUND - DIRECT Plan - IDCW Option	41.2418
Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option	98.8611
Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option	98.8611
NIPPON INDIA LARGE CAP FUND - IDCW Option	27.1518
Nippon India Large Cap Fund- Growth Plan Bonus Option	88.7384
Nippon India Large Cap Fund-Institutional Plan Growth Plan Bonus Option	34.1366
PGIM India Large Cap Fund - BONUS OPTION	22.38
PGIM India Large Cap Fund - Direct Plan - Bonus	24.02
PGIM India Large Cap Fund - Direct Plan - Dividend	29.03
PGIM India Large Cap Fund - Direct Plan - Growth	396.51
PGIM India Large Cap Fund - Dividend	20.37
PGIM India Large Cap Fund - Growth	334.99
PGIM India Large Cap Fund Wealth Plan - Growth Option	34.74
PGIM India Large Cap Fund Wealth Plan -Dividend Option	11.63
quant Large Cap Fund - Growth Option - Direct Plan	15.1667
quant Large Cap Fund - Growth Option - Regular Plan	14.5025
quant Large Cap Fund - IDCW Option - Direct Plan	15.2302
quant Large Cap Fund - IDCW Option - Regular Plan	14.42
Samco Large Cap Fund - Direct Plan - Growth Option	9.97
Samco Large Cap Fund - Regular Plan - Growth Option	9.94
SBI Blue Chip Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	65.5872
SBI Blue Chip Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	51.9551
SBI BLUE CHIP FUND-DIRECT PLAN -GROWTH	101.0597
SBI BLUE CHIP FUND-REGULAR PLAN GROWTH	91.3283
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip  Fund)  Direct Plan - Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	17.5044
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)  Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)	16.3208
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund) Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW)	17.5044
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	16.3208
Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth	22.4757
Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth	20.9762
Tata Large Cap Fund -Direct Plan Growth Option	568.4617
Tata Large Cap Fund -Regular Plan - Growth Option	496.0081
Tata Large Cap Fund- Direct Plan - Payout of IDCW Option	129.1442
Tata Large Cap Fund- Regular Plan - Payout of IDCW Option	108.0755
Taurus Large Cap Fund - Direct Plan - Growth	164.05
Taurus Large Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option	72.26
Taurus Large Cap Fund - Regular Plan - Growth	155.10
Taurus Large Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option	67.94
Union Largecap Fund - Direct Plan - Growth Option	24.59
Union Largecap Fund - Direct Plan - IDCW Option	24.59
Union Largecap Fund - Regular Plan - Growth Option	23.18
Union Largecap Fund - Regular Plan - IDCW Option	23.18
UTI Large Cap Fund - Direct Plan - Growth Option	296.6398
UTI Large Cap Fund - Direct Plan - IDCW	64.5099
UTI Large Cap Fund - Regular Plan - Growth Option	270.9386
UTI Large Cap Fund - Regular Plan - IDCW	54.8555
WhiteOak Capital Large Cap Fund Direct Plan Growth	15.146
WhiteOak Capital Large Cap Fund Direct Plan IDCW	15.146
WhiteOak Capital Large Cap Fund Regular Plan Growth	14.527
WhiteOak Capital Large Cap Fund Regular Plan IDCW	14.527
Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan	845.86
Aditya Birla Sun Life Midcap Fund -DIRECT - IDCW	96.22
Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW	56.47
Aditya Birla Sun Life MIDCAP Fund-Growth	760.35
Axis Midcap Fund - Direct Plan - Growth	126.38
Axis Midcap Fund - Direct Plan - IDCW	53.51
Axis Midcap Fund - Regular Plan - Growth	108.91
Axis Midcap Fund - Regular Plan - IDCW	40.56
BANDHAN MIDCAP FUND - GROWTH - DIRECT PLAN	17.245
BANDHAN MIDCAP FUND - GROWTH - REGULAR PLAN	16.500
BANDHAN MIDCAP FUND - IDCW - DIRECT PLAN	17.232
BANDHAN MIDCAP FUND - IDCW - REGULAR PLAN	16.501
BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - Growth Option	116.8283
BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - IDCW Option	70.5289
BARODA BNP PARIBAS Mid Cap Fund - Regular Plan - Growth Option	98.3707
BARODA BNP PARIBAS Mid Cap Fund - Regular Plan - IDCW Option	55.9175
Canara Robeco Mid Cap Fund- Direct Plan- Growth Option	16.8900
Canara Robeco Mid Cap Fund- Direct Plan- IDCW	16.3800
Canara Robeco Mid Cap Fund- Regular Plan- Growth Option	16.3000
Canara Robeco Mid Cap Fund- Regular Plan- IDCW	15.7900
DSP Midcap Fund - Direct Plan - Growth	157.137
DSP Midcap Fund - Direct Plan - IDCW	68.196
DSP Midcap Fund - Regular Plan - Growth	141.538
DSP Midcap Fund - Regular Plan - IDCW	29.323
Edelweiss Mid Cap Fund - Direct Plan - Growth Option	113.476
Edelweiss Mid Cap Fund - Direct Plan - IDCW Option	82.744
Edelweiss Mid Cap Fund - Regular Plan - Growth Option	97.394
Edelweiss Mid Cap Fund - Regular Plan - IDCW Option	56.15
Franklin India Prima Fund - Direct - Growth	3016.6064
Franklin India PRIMA FUND - Direct - IDCW 	119.1133
Franklin India PRIMA FUND - IDCW 	99.3330
Franklin India Prima Fund-Growth	2686.8588
HDFC Mid-Cap Opportunities Fund - Growth Option - Direct Plan	206.302
HDFC Mid-Cap Opportunities Fund - Growth Plan	187.521
HDFC Mid-Cap Opportunities Fund - IDCW Option - Direct Plan	77.864
HDFC Mid-Cap Opportunities Fund - IDCW Plan	51.675
Helios Mid Cap Fund - Direct Plan - Growth Option	11.26
Helios Mid Cap Fund - Direct Plan - IDCW Option	11.26
Helios Mid Cap Fund - Regular Plan - Growth Plan	11.23
Helios Mid Cap Fund - Regular Plan - IDCW Option	11.23
HSBC Midcap Fund - Direct Growth	415.489
HSBC Midcap Fund - Direct IDCW	85.9256
HSBC Midcap Fund - Regular Growth	368.2149
HSBC Midcap Fund - Regular IDCW	75.2912
ICICI Prudential MidCap Fund - Direct Plan -  Growth	316.59
ICICI Prudential MidCap Fund - Direct Plan -  IDCW	61.90
ICICI Prudential MidCap Fund - Growth	282.92
ICICI Prudential MidCap Fund - IDCW	39.92
Invesco India Midcap Fund - Direct Plan - Growth Option	200.25
Invesco India Midcap Fund - Direct Plan - IDCW (Payout / Reinvestment)	75.05
Invesco India Midcap Fund - Growth Option	166.92
Invesco India Midcap Fund - IDCW (Payout / Reinvestment)	57.22
ITI Mid Cap Fund - Direct Plan - Growth Option	22.3207
ITI Mid Cap Fund - Direct Plan - IDCW Option	21.3895
ITI Mid Cap Fund - Regular Plan - Growth Option	20.4835
ITI Mid Cap Fund - Regular Plan - IDCW Option	19.5723
JM Midcap Fund (Direct) - Growth	19.2244
JM Midcap Fund (Direct) - IDCW	19.2243
JM Midcap Fund (Regular) - Growth	18.3706
JM Midcap Fund (Regular) - IDCW	18.3706
Kotak Emerging Equity Scheme - Growth	127.817
Kotak Emerging Equity Scheme - Growth - Direct	147.717
Kotak Emerging Equity Scheme - Payout of Income Distribution cum capital withdrawal option	70.201
Kotak Emerging Equity Scheme - Payout of Income Distribution cum capital withdrawal option - Direct	88.008
LIC MF Mid Cap Fund-Direct Plan-Growth	31.7798
LIC MF Mid Cap Fund-Direct Plan-IDCW	29.8637
LIC MF Mid Cap Fund-Regular Plan-Growth	28.4731
LIC MF Mid Cap Fund-Regular Plan-IDCW	26.7226
Mahindra Manulife Mid Cap Fund - Direct Plan - IDCW	29.0940
Mahindra Manulife Mid Cap Fund - Direct Plan -Growth	36.4216
Mahindra Manulife Mid Cap Fund - Regular Plan - Growth	32.2535
Mahindra Manulife Mid Cap Fund- Regular Plan - IDCW	25.1553
Mirae Asset Midcap Fund - Regular Plan-Growth Option	34.189
Mirae Asset Midcap Fund Direct IDCW	26.394
Mirae Asset Midcap Fund Regular IDCW	24.291
Mirae Asset Midcap Fund- Direct Growth Option	36.917
Motilal Oswal Midcap Fund-Direct - IDCW Payout/Reinvestment	49.4016
Motilal Oswal Midcap Fund-Direct Plan-Growth Option	112.7423
Motilal Oswal Midcap Fund-Regular - IDCW Payout/Reinvestment	47.8562
Motilal Oswal Midcap Fund-Regular Plan-Growth Option	98.5690
NIPPON INDIA GROWTH FUND - DIRECT Plan - IDCW Option	183.5612
Nippon India Growth Fund - Direct Plan Growth Plan - Bonus Option	729.0531
Nippon India Growth Fund - Direct Plan Growth Plan - Growth Option	4388.2934
NIPPON INDIA GROWTH FUND - IDCW Option	116.5071
NIPPON INDIA GROWTH FUND - INSTITUTIONAL Plan - IDCW Option	1292.0321
Nippon India Growth Fund-Growth Plan-Bonus Option	667.7330
Nippon India Growth Fund-Growth Plan-Growth Option	4011.1025
PGIM India Midcap Opportunities Fund - Direct Plan - Dividend Option - Payout	59.65
PGIM India Midcap Opportunities Fund - Direct Plan - Growth Option	71.96
PGIM India Midcap Opportunities Fund - Regular Plan - Dividend Option - Payout	24.39
PGIM India Midcap Opportunities Fund - Regular Plan - Growth Option	62.26
quant Mid Cap Fund - Growth Option - Direct Plan	243.1778
quant Mid Cap Fund - Growth Option - Regular Plan	217.1396
quant Mid Cap Fund - IDCW Option - Direct Plan	85.4158
quant Mid Cap Fund - IDCW Option - Regular Plan	77.1938
SBI Magnum MIDCAP FUND - DIRECT PLAN - GROWTH	260.2656
SBI Magnum MidCap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	147.5545
SBI Magnum MIDCAP FUND - REGULAR PLAN - GROWTH	232.4981
SBI Magnum MidCap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	95.0019
Sundaram Mid Cap Fund Direct Plan - Growth	1450.2158
Sundaram Mid Cap Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	73.0313
Sundaram Mid Cap Fund Regular Plan - Growth	1329.8505
Sundaram Mid Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	66.0311
Tata Mid Cap Growth Fund - Direct Plan- Growth Option	467.9794
Tata Mid Cap Growth Fund - Direct Plan- IDCW Option	154.4749
Tata Mid Cap Growth Fund Regular Plan- Growth Option	412.3471
Tata Mid Cap Growth Fund-Regular Plan - IDCW Option	113.8145
Taurus Mid Cap Fund - Direct Plan - Growth	125.61
Taurus Mid Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option	111.58
Taurus Mid Cap Fund - Regular Plan - Growth	119.07
Taurus Mid Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option	106.13
Union Midcap Fund - Direct Plan - Growth Option	48.68
Union Midcap Fund - Direct Plan - IDCW Option	48.68
Union Midcap Fund - Regular Plan - Growth Option	45.33
Union Midcap Fund - Regular Plan - IDCW Option	45.33
UTI Mid Cap Fund - Direct Plan - IDCW	159.6458
UTI Mid Cap Fund - Regular Plan - IDCW	137.9843
UTI Mid Cap Fund-Growth Option	291.5927
UTI Mid Cap Fund-Growth Option- Direct	324.4154
WhiteOak Capital Mid Cap Fund Direct Plan Growth	19.059
WhiteOak Capital Mid Cap Fund Direct Plan IDCW	19.059
WhiteOak Capital Mid Cap Fund Regular Plan Growth	18.237
WhiteOak Capital Mid Cap Fund Regular Plan IDCW	18.237
Aditya Birla Sun Life Multi-Cap Fund-Direct Growth	20.04
Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout	18.85
Aditya Birla Sun Life Multi-Cap Fund-Regular Growth	18.91
Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout	17.8
Axis Multicap Fund - Direct Growth	18.00
Axis Multicap Fund - Direct Plan - IDCW	18.00
Axis Multicap Fund - Regular Plan - Growth	17.20
Axis Multicap Fund - Regular Plan - IDCW	17.20
BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH	11.099
BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW	11.099
BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH	11.055
BAJAJ FINSERV MULTI CAP FUND - REGULAR - IDCW	11.055
BANDHAN MULTI CAP FUND - GROWTH - DIRECT PLAN	17.700
BANDHAN MULTI CAP FUND - GROWTH - REGULAR PLAN	16.760
BANDHAN MULTI CAP FUND - IDCW - DIRECT PLAN	16.646
BANDHAN MULTI CAP FUND - IDCW - REGULAR PLAN	15.594
Bank of India Multi Cap Fund Direct Plan - Growth	17.52
Bank of India Multi Cap Fund Direct Plan - IDCW	17.50
Bank of India Multi Cap Fund Regular Plan - Growth	17.11
Bank of India Multi Cap Fund Regular Plan - IDCW	17.11
Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option	309.0244
Baroda BNP Paribas MULTI CAP FUND - Direct Plan - IDCW Option	57.1149
Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option	275.7773
Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option	53.8639
Canara Robeco Multi Cap Fund - Direct Plan - Growth Option	14.3900
Canara Robeco Multi Cap Fund - Direct Plan - IDCW Option	14.2400
Canara Robeco Multi Cap Fund - Regular Plan - Growth Option	14.0100
Canara Robeco Multi Cap Fund - Regular Plan - IDCW Option	13.8600
DSP Multicap Fund - Direct - Growth	11.956
DSP Multicap Fund - Direct - IDCW	11.956
DSP Multicap Fund - Regular - Growth	11.72
DSP Multicap Fund - Regular - IDCW	11.72
Edelweiss Multi Cap Fund - Direct Plan - Growth	14.963
Edelweiss Multi Cap Fund - Direct Plan - IDCW	14.963
Edelweiss Multi Cap Fund - Regular Plan - Growth	14.587
Edelweiss Multi Cap Fund - Regular Plan - IDCW	14.587
Franklin India Multi Cap Fund - Direct - Growth	10.0141
Franklin India Multi Cap Fund - Direct - IDCW	10.0141
Franklin India Multi Cap Fund - Growth	9.8898
Franklin India Multi Cap Fund - IDCW	9.8898
Groww Multicap Fund - Direct - Growth	9.8295
Groww Multicap Fund - Direct - IDCW	9.8295
Groww Multicap Fund - Regular - Growth	9.7513
Groww Multicap Fund - Regular - IDCW	9.7506
HDFC Multi Cap Fund - Growth Option	18.479
HDFC Multi Cap Fund - Growth Option - Direct Plan	19.287
HDFC Multi Cap Fund - IDCW Option	17.51
HDFC Multi Cap Fund - IDCW Option - Direct Plan	18.391
HSBC Multi Cap Fund - Direct - Growth	18.4986
HSBC Multi Cap Fund - Direct - IDCW	18.4987
HSBC Multi Cap Fund - Regular - Growth	17.94
HSBC Multi Cap Fund - Regular - IDCW	16.2166
ICICI Prudential Multicap Fund - Direct Plan -  Growth	872.21
ICICI Prudential Multicap Fund - Direct Plan -  IDCW	61.29
ICICI Prudential Multicap Fund - Growth	782.62
ICICI Prudential Multicap Fund - IDCW	34.51
Invesco India Multicap Fund - Direct Plan - Growth Option	152.96
Invesco India Multicap Fund - Direct Plan - IDCW (Payout / Reinvestment)	138.43
Invesco India Multicap Fund - Growth Option	128.81
Invesco India Multicap Fund - IDCW (Payout / Reinvestment)	116.79
ITI Multi Cap Fund - Direct Plan - Growth Option	25.7252
ITI Multi Cap Fund - Direct Plan - IDCW Option	23.7066
ITI Multi Cap Fund - Regular Plan - Growth Option	22.8161
ITI Multi Cap Fund - Regular Plan - IDCW Option	20.9157
Kotak Multicap Fund- Regular Plan -IDCW Option	18.321
Kotak Multicap Fund-Direct Plan-Growth	19.346
Kotak Multicap Fund-Direct Plan-IDCW Option	19.345
Kotak Multicap Fund-Regular Plan-Growth	18.321
LIC MF Multi Cap Fund-Direct Plan-Growth	17.174
LIC MF Multi Cap Fund-Direct Plan-IDCW	17.174
LIC MF Multi Cap Fund-Regular Plan-Growth	16.4558
LIC MF Multi Cap Fund-Regular Plan-IDCW	16.4558
Mahindra Manulife Multi Cap Fund - Direct Plan - IDCW	29.7767
Mahindra Manulife Multi Cap Fund - Direct Plan -Growth	39.5457
Mahindra Manulife Multi Cap Fund - Regular Plan - Growth	34.1521
Mahindra Manulife Multi Cap Fund - Regular Plan - IDCW	24.7865
Mirae Asset Multicap Fund - Direct Plan - Growth	14.133
Mirae Asset Multicap Fund - Direct Plan - IDCW	14.132
Mirae Asset Multicap Fund - Regular Plan - Growth	13.765
Mirae Asset Multicap Fund - Regular Plan - IDCW	13.758
Motilal Oswal Multi Cap Fund Regular Plan Growth	13.1865
Motilal Oswal Multi Cap Fund Regular Plan IDCW	13.1865
Motilal Oswal Multi Cap Fund-Direct Plan Growth	13.3623
Motilal Oswal Multi Cap Fund-Direct Plan IDCW	13.3623
NIPPON INDIA MULTI CAP FUND - DIRECT Plan - IDCW Option	88.7028
Nippon India Multi Cap Fund - Direct Plan Growth Plan - Bonus Option	318.3596
Nippon India Multi Cap Fund - Direct Plan Growth Plan - Growth Option	318.3596
NIPPON INDIA MULTI CAP FUND - IDCW Option	61.6341
Nippon India Multi Cap Fund Institutional Dividend Plan	44.8994
Nippon India Multi Cap Fund Institutional Plan Growth Plan Growth Option	21.9544
Nippon India Multi Cap Fund-Growth Plan-Bonus Option	290.5015
Nippon India Multi Cap Fund-Growth Plan-Growth Option	290.5015
PGIM India Multi Cap Fund - Direct Plan - Growth Option	9.51
PGIM India Multi Cap Fund - Direct Plan - IDCW Option	9.51
PGIM India Multi Cap Fund - Regular Plan - Growth Option	9.39
PGIM India Multi Cap Fund - Regular Plan - IDCW Option	9.39
quant Active Fund-GROWTH OPTION - Regular Plan	619.6015
quant Active Fund-GROWTH OPTION-Direct Plan	674.1448
quant Active Fund-IDCW Option - Direct Plan	78.074
quant Active Fund-IDCW Option - Regular Plan	70.86
Samco Multi Cap Fund - Direct Plan - Growth	9.50
Samco Multi Cap Fund - Regular Plan - Growth	9.41
SBI Multicap Fund- Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	17.0917
SBI Multicap Fund- Direct Plan- Growth option	17.0916
SBI Multicap Fund- Regular Plan- Growth Option	16.5843
SBI Multicap Fund- Regular Plan- Income Distribution cum Capital Withdrawal Option (IDCW)	16.5870
Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund) - Direct Plan -Half Yearly Income Distribution CUM Capital Withdrawal Option	87.2908
Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)- Half Yearly Income Distribution CUM Capital Withdrawal Option	64.8356
Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)-Direct Plan - Growth Option	409.5275
Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)-Growth Option	368.4781
Tata Multicap Fund - Direct Plan - Growth	14.2867
Tata Multicap Fund - Direct Plan - IDCW Payout	14.2867
Tata Multicap Fund - Direct Plan - IDCW Reinvestment	14.2867
Tata Multicap Fund - Regular Plan - Growth	13.7737
Tata Multicap Fund - Regular Plan - IDCW Payout	13.7737
Tata Multicap Fund - Regular Plan - IDCW Reinvestment	13.7737
Union Multicap Fund - Direct Plan - Growth Option	15.70
Union Multicap Fund - Direct Plan - IDCW Option	15.70
Union Multicap Fund - Regular Plan - Growth Option	15.20
Union Multicap Fund - Regular Plan - IDCW Option	15.20
UTI Multi Cap Fund - Direct Plan - Growth Option	10.0195
UTI Multi Cap Fund - Regular Plan - Growth Option	10.0159
WhiteOak Capital Multi Cap Fund Direct Plan Growth	14.788
WhiteOak Capital Multi Cap Fund Regular Plan Growth	14.387
360 ONE QUANT FUND DIRECT GROWTH	19.8139
360 ONE QUANT FUND DIRECT INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	19.8139
360 ONE QUANT FUND REGULAR GROWTH	18.9867
360 ONE QUANT FUND REGULAR INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	18.9867
Aditya Birla Sun Life Banking and Financial Services Fund - DIRECT - IDCW	31.47
Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth	67.
Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW	23.31
Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth	59.82
Aditya Birla Sun Life Business Cycle Fund-Direct Growth	15.51
Aditya Birla Sun Life Business Cycle Fund-Direct IDCW Payout	14.45
Aditya Birla Sun Life Business Cycle Fund-Regular IDCW Payout	13.78
Aditya Birla Sun Life Business Cycle Fund-Regular-Growth	14.8
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Direct Plan	37.3501
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan	35.7925
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan -Direct - IDCW	21.5614
Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan -Regular - IDCW	20.6236
Aditya Birla Sun Life Conglomerate Fund-Direct Growth	10.63
Aditya Birla Sun Life Conglomerate Fund-Direct IDCW Payout	10.64
Aditya Birla Sun Life Conglomerate Fund-Regular Growth	10.57
Aditya Birla Sun Life Conglomerate Fund-Regular IDCW Payout	10.57
Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan	188.47
Aditya Birla Sun Life Digital India Fund - Growth - Regular Plan	167.77
Aditya Birla Sun Life Digital India Fund -DIRECT - IDCW	60.24
Aditya Birla Sun Life Digital India Fund -Regular - IDCW	44.37
Aditya Birla Sun Life ESG Integration Strategy Fund-Direct - Payout of IDCW	17.27
Aditya Birla Sun Life ESG Integration Strategy Fund-Direct Plan-Growth	18.61
Aditya Birla Sun Life ESG Integration Strategy Fund-Regular - Payout of IDCW	16.18
Aditya Birla Sun Life ESG Integration Strategy Fund-Regular Plan-Growth	17.45
